"Company Name","Business Name","Street Address",City,"State Abbreviation","Zip Code","Telephone Number","Line of Business",URL,Latitude,Longitude,"Primary NAICS","Primary SIC"
"BLANNIE BET MASSEY MORRIS FOUNDATION INC",,"7606 EASTBOURNE RD",CHARLOTTE,NC,282273005,,"RELIGIOUS ORGANIZATIONS",,35.208433,-80.716523,813110,86610000
"CENTRAL BRANCH YMCA",YMCA,"400 E MOREHEAD ST",CHARLOTTE,NC,282022610,7047166100,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.YMCACHARLOTTE.ORG,35.21755,-80.848912,813410,86410300
"CHARLOTTE BILINGUAL PRESCHOOL",,"6300 HIGHLAND AVE",CHARLOTTE,NC,282154214,7045358080,"CHILD DAY CARE SERVICES MEMBERSHIP ORGANIZATION",WWW.BILINGUALPRESCHOOL.ORG,35.226255,-80.719709,624410,83519905
"CHARLOTTE REPERTORY THEATRE",,"622 E 28TH ST",CHARLOTTE,NC,282051816,,"THEATRICAL PRODUCERS/SERVICES MEMBERSHIP ORGANIZATION",,35.241445,-80.811707,711110,79220300
"CHARLOTTE YMCA ASSOCIATION",YMCA,"5900 QUAIL HOLLOW RD",CHARLOTTE,NC,282105005,7045529622,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.YMCACHARLOTTE.ORG,35.132033,-80.83987,813410,86410300
"DOVE HOUSE MINISTRY",,"6135 BENT TREE CT",CHARLOTTE,NC,282120907,,"RELIGIOUS ORGANIZATION MEMBERSHIP ORGANIZATION",WWW.DOVEHOUSECAC.ORG,35.209043,-80.737875,813110,86610000
"FILL MY CUP",,"8512 BALLARD HILLS CT",CHARLOTTE,NC,282152792,7046054366,"EATING PLACE MEMBERSHIP ORGANIZATION",WWW.FILLMYCUPLITERACY.ORG,35.241139,-80.705687,722511,58120000
"JAMES J. HARRRIS FAMILY YMCA",,"5900 QUAIL HOLLOW RD",CHARLOTTE,NC,282105005,7047166837,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.YMCACHARLOTTE.ORG,35.132033,-80.83987,813410,86410300
"MA FUDPUCKERS",,"4331 PLAZA RD",CHARLOTTE,NC,28205,,"CIVIC/SOCIAL ASSOCIATION DRINKING PLACE",,35.22709,-80.84313,813410,86410000
"MERCY MEDICAL SERVICE, INC","UPTOWN YMCA","301 S COLLEGE ST STE 200",CHARLOTTE,NC,28203,7047166476,"MEDICAL DOCTORS OFFICE PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",,35.223863,-80.844482,621111,80110202
"MISSIONARY ATHLETES INTERNATIONAL","CHARLOTTE EASGLE SOCCER","8510 MCALPINE PARK DR STE 109",CHARLOTTE,NC,282116250,7048418644,"RELIGIOUS ORGANIZATION CIVIC/SOCIAL ASSOCIATION",WWW.MAISOCCER.COM,35.152993,-80.750428,813110,86610000
"PAR BUSTERS GOLF GROUP INC",,"2317 WEST BLVD",CHARLOTTE,NC,282086108,7043344237,"MEMBERSHIP SPORT/RECREATION CLUB MEMBERSHIP ORGANIZATION",,35.211265,-80.900479,713910,79979906
"PARADIGM 360 FOUNDATION, INC.",,"10926 DAVID TAYLOR DR",CHARLOTTE,NC,282621293,7044016487,"INDIVIDUAL/FAMILY SERVICES RELIGIOUS ORGANIZATION MEMBERSHIP ORGANIZATION",WWW.PARADIGM360CONSULTING.COM,35.338338,-80.764897,624190,83220000
"SAMARITAN'S PURSE","OPERATION CHRISTMAS CHILD","2345 TOWNSHIP RD",CHARLOTTE,NC,282730119,7043663269,"INDIVIDUAL/FAMILY SERVICES CHILD DAY CARE SERVICES MEMBERSHIP ORGANIZATION",WWW.SAMARITANSPURSE.ORG,35.133884,-80.943859,624230,83220307
"SPEECHLESS BASKETBALL LLC",,"2801 E INDEPENDENCE BLVD",CHARLOTTE,NC,282057032,9802370442,"PHYSICAL FITNESS FACLTY RET MISC APPAREL/ACCESS SPORT/RECREATION CAMP RET MEN'S/BOY'S CLOTHING CIVIC/SOCIAL ASSOCIATION",,35.205682,-80.793597,713940,79910100
"STEELE CREEK BRANCH YMCA",,"2135 AYRSLEY TOWN BLVD STE A",CHARLOTTE,NC,282733541,7047164900,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.YMCACHARLOTTE.ORG,35.137564,-80.933619,813410,86410300
